Day,P2P Buying Price (Rs),BTC Rate (USD),USD to LKR Price,BTC vs LKR,P2P Premium
2023-05-10,334.7,27630.02507,315.9,8728324.919613,18.80000000000001
2023-05-11,334.7,27597.61277,313.0,8638052.79701,21.69999999999999
2023-05-12,334.7,26991.47966,312.0,8421341.65392,22.69999999999999
2023-05-13,334.7,26799.19228,312.0,8361347.991359999,22.69999999999999
2023-05-14,321.7,26774.61847,312.0,8353680.9626400005,9.699999999999989
2023-05-15,320.7,26917.49634,313.0,8425176.35442,7.699999999999989
2023-05-16,319.6,27162.82327,309.0,8393312.39043,10.600000000000023
2023-05-17,318.89,27033.76018,305.0,8245296.854900001,13.889999999999986
2023-05-18,315.5,27414.2211,306.0,8388751.6566,9.5
2023-05-19,322.74,26824.73279,306.5,8221780.6001349995,16.24000000000001
2023-05-20,315.44,26874.19293,306.5,8236940.133045,8.939999999999998
2023-05-21,317.8,27106.18891,306.5,8308046.900915001,11.300000000000011
2023-05-22,321.0,26743.07218,305.0,8156637.0149,16.0
2023-05-23,318.39,26850.09579,304.5,8175854.168055,13.889999999999986
2023-05-24,318.1,27218.30667,303.0,8247146.921010001,15.100000000000023
2023-05-25,318.4,26326.95514,302.0,7950740.45228,16.399999999999977
2023-05-26,320.15,26481.00834,297.0,7864859.47698,23.149999999999977
2023-05-27,315.48,26714.89864,297.0,7934324.896079999,18.480000000000018
2023-05-28,311.99,26866.36493,297.0,7979310.38421,14.990000000000009
2023-05-29,312.5,28089.04526,296.0,8314357.39696,16.5
2023-05-30,304.95,27743.78811,294.0,8156673.704340001,10.949999999999989
2023-05-31,303.2,27694.5948,290.0,8031432.492,13.199999999999989
2023-06-01,300.0,27211.38637,293.5,7986541.899595,6.5
2023-06-02,301.88,26817.79398,290.0,7777160.254199999,11.879999999999995
2023-06-03,299.5,27242.30277,290.0,7900267.8033,9.5
2023-06-04,298.75,27069.43535,290.0,7850136.2515,8.75
2023-06-05,301.0,27116.64652,290.0,7863827.4908,11.0
2023-06-06,300.84,25728.33848,291.5,7499810.66692,9.339999999999975
2023-06-07,301.7,27231.78181,291.0,7924448.50671,10.699999999999989
2023-06-08,306.7,26341.53765,294.0,7744412.0691,12.699999999999989
2023-06-09,317.99,26501.79585,295.5,7831280.673675,22.49000000000001
2023-06-10,311.44,26479.84989,295.5,7824795.642495001,15.939999999999998
2023-06-11,316.5,25840.93528,295.5,7635996.375240001,21.0
2023-06-12,318.18,25925.99256,300.5,7790760.76428,17.680000000000007
2023-06-13,324.97,25905.80717,306.0,7927176.99402,18.970000000000027
2023-06-14,341.9,25934.89873,315.0,8169493.099950001,26.899999999999977
2023-06-15,355.98,25129.03401,306.0,7689484.40706,49.98000000000002
2023-06-16,335.8,25597.11417,307.5,7871112.607275,28.30000000000001
2023-06-17,324.5,26345.79476,307.5,8101331.8887,17.0
2023-06-18,325.0,26517.48496,307.5,8154126.625200001,17.5
2023-06-19,327.78,26341.56334,306.0,8060518.3820400005,21.779999999999973
2023-06-20,321.72,26844.6586,306.0,8214465.531599999,15.720000000000027
2023-06-21,317.45,28306.21011,306.0,8661700.29366,11.449999999999989
2023-06-22,318.1,29994.75455,306.0,9178394.8923,12.100000000000023
2023-06-23,318.93,29885.21515,307.5,9189703.658625,11.430000000000007
2023-06-24,316.9,30688.45538,307.5,9436700.02935,9.399999999999977
2023-06-25,316.9,30528.5276,307.5,9387522.237,9.399999999999977
2023-06-26,319.58,30465.65547,307.5,9368189.057025,12.079999999999984
2023-06-27,316.96,30268.1851,308.0,9322601.0108,8.95999999999998
2023-06-28,317.0,30692.77823,307.5,9438029.305725,9.5
2023-06-29,317.0,30078.09067,307.201,9240019.531914672,9.798999999999978
2023-06-30,316.15,30449.49087,308.034,9379478.47064958,8.115999999999985
2023-07-01,314.99,30473.35116,308.034,9386828.251219438,6.956000000000017
2023-07-02,315.0,30586.87827,308.034,9421798.46102118,6.966000000000008
2023-07-03,315.59,30616.82003,307.699,9420764.90641097,7.890999999999963
2023-07-04,314.9,31157.34898,306.0,9534148.78788,8.899999999999977
2023-07-05,313.45,30767.51197,306.0,9414858.66282,7.449999999999989
2023-07-06,315.35,30504.30702,309.0,9425830.86918,6.350000000000023
2023-07-07,318.55,29896.11605,309.0,9237899.85945,9.550000000000011
2023-07-08,315.97,30344.45168,309.0,9376435.56912,6.970000000000027
2023-07-09,317.1,30285.66337,309.0,9358269.98133,8.100000000000023
2023-07-10,319.5,30161.99352,310.0,9350217.9912,9.5
2023-07-11,317.7,30413.39298,313.0,9519392.00274,4.699999999999989
2023-07-12,317.52,30622.3738,314.0,9615425.373200001,3.519999999999982
2023-07-13,319.3,30380.20423,317.0,9630524.74091,2.3000000000000114
2023-07-14,320.75,31456.43672,318.0,10003146.87696,2.75
2023-07-15,321.39,30312.45698,318.0,9639361.31964,3.3899999999999864
2023-07-16,323.9,30289.44341,318.0,9632043.00438,5.899999999999977
2023-07-17,329.3,30233.39673,321.0,9704920.35033,8.300000000000011
2023-07-18,326.75,30139.42453,322.0,9704894.69866,4.75
2023-07-19,326.94,29858.46867,323.0,9644285.380409999,3.9399999999999977
2023-07-20,326.65,29910.5814,324.0,9691028.3736,2.6499999999999773
2023-07-21,327.69,29802.14409,326.5,9730400.045385001,1.1899999999999977
2023-07-22,330.95,29902.45413,326.5,9763151.273444999,4.449999999999989
2023-07-23,333.24,29791.50362,326.5,9726925.93193,6.740000000000009
2023-07-24,341.0,30083.90179,329.0,9897603.68891,12.0
2023-07-25,337.89,29179.90552,330.0,9629368.8216,7.889999999999986
2023-07-26,334.55,29228.51622,328.0,9586953.32016,6.550000000000011
2023-07-27,334.5,29351.35925,328.0,9627245.834,6.5
2023-07-28,333.45,29220.45573,328.0,9584309.47944,5.449999999999989
2023-07-29,331.98,29312.73283,328.0,9614576.36824,3.980000000000018
2023-07-30,332.59,29354.75945,328.0,9628361.0996,4.589999999999975
2023-07-31,332.4,29279.80504,317.0,9281698.19768,15.399999999999977
2023-08-01,327.0,29232.98586,319.129,9329093.544515941,7.870999999999981
2023-08-02,321.8,29709.82289,313.0,9299174.56457,8.800000000000011
2023-08-03,321.9,29183.32544,316.0,9221930.83904,5.899999999999977
2023-08-04,323.4,29194.07642,320.0,9342104.454400001,3.3999999999999773
2023-08-05,324.22,29114.09476,320.0,9316510.3232,4.220000000000027
2023-08-06,326.0,29072.47391,320.0,9303191.6512,6.0
2023-08-07,325.59,29088.74465,322.0,9366575.7773,3.589999999999975
2023-08-08,328.0,29212.08737,319.5,9333261.914715,8.5
2023-08-09,329.85,29772.71881,319.5,9512383.659795,10.350000000000023
2023-08-10,328.7,29582.57789,319.0,9436842.34691,9.699999999999989
2023-08-11,327.4,29457.31512,319.0,9396883.52328,8.399999999999977
2023-08-12,326.05,29427.66919,319.0,9387426.47161,7.050000000000011
2023-08-13,326.0,29430.53726,319.0,9388341.38594,7.0
2023-08-14,326.1,29302.87839,321.0,9406223.96319,5.100000000000023
2023-08-15,325.59,29431.69388,320.0,9418142.0416,5.589999999999975
2023-08-16,325.08,29196.56214,321.0,9372096.446940001,4.079999999999984
2023-08-17,328.93,28723.11267,321.5,9234480.723405,7.430000000000007
2023-08-18,329.98,26600.46619,323.0,8591950.57937,6.980000000000018
2023-08-19,329.8,26051.4647,323.0,8414623.098100001,6.800000000000011
2023-08-20,330.74,26089.08499,323.0,8426774.45177,7.740000000000009
2023-08-21,330.74,26188.42405,323.0,8458860.968150001,7.740000000000009
2023-08-22,331.0,26131.5596,323.5,8453559.5306,7.5
2023-08-23,332.35,26052.7114,323.0,8415025.7822,9.350000000000023
2023-08-24,331.0,26433.91954,323.0,8538156.01142,8.0
2023-08-25,331.0,26180.51514,323.0,8456306.39022,8.0
2023-08-26,331.09,26065.03319,323.0,8419005.72037,8.089999999999975
2023-08-27,331.4,26013.62903,323.0,8402402.17669,8.399999999999977
2023-08-28,331.79,26101.75881,323.75,8450444.4147375,8.04000000000002
2023-08-29,331.0,26122.95085,320.5,8372405.747425,10.5
2023-08-30,330.98,27715.13707,321.758,8917567.07336906,9.222000000000037
2023-08-31,329.38,27294.45287,318.5,8693283.239095,10.879999999999995
2023-09-01,329.24,25932.07522,318.5,8259365.95757,10.740000000000009
2023-09-02,327.75,25811.00941,318.5,8220806.497084999,9.25
2023-09-03,327.99,25872.28137,318.5,8240321.616345,9.490000000000009
2023-09-04,328.7,25974.25835,320.0,8311762.672,8.699999999999989
2023-09-05,329.71,25827.82873,321.0,8290733.02233,8.70999999999998
2023-09-06,330.5,25787.63202,321.0,8277829.87842,9.5
2023-09-07,330.34,25763.10179,322.0,8295718.776380001,8.339999999999975
2023-09-08,330.8,26248.35551,321.0,8425722.11871,9.800000000000011
2023-09-09,331.48,25911.89397,321.0,8317717.96437,10.480000000000018
2023-09-10,332.8,25903.37004,321.0,8314981.78284,11.800000000000011
2023-09-11,331.43,25845.618,321.0,8296443.378,10.430000000000007
2023-09-12,331.25,25168.78822,322.25,8110642.003895,9.0
2023-09-13,331.4,26209.36312,322.0,8439414.92464,9.399999999999977
2023-09-14,331.99,26214.89397,323.0,8467410.75231,8.990000000000009
2023-09-15,332.0,26523.58631,322.75,8560487.4815525,9.25
2023-09-16,331.65,26622.85363,322.75,8592526.0090825,8.899999999999977
2023-09-17,332.12,26562.04205,322.75,8572899.0716375,9.370000000000005
2023-09-18,331.25,26529.03932,324.25,8602040.99951,7.0
2023-09-19,331.5,26762.86602,324.0,8671168.59048,7.5
2023-09-20,332.4,27197.57577,324.0,8812014.54948,8.399999999999977
2023-09-21,333.25,27118.16926,323.5,8772727.75561,9.75
2023-09-22,332.24,26566.77175,324.0,8607634.047,8.240000000000009
2023-09-23,331.5,26580.06501,324.0,8611941.06324,7.5
2023-09-24,331.5,26576.95322,324.0,8610932.84328,7.5
2023-09-25,331.94,26225.71061,324.0,8497130.237639999,7.939999999999998
2023-09-26,331.99,26304.21724,323.5,8509414.27714,8.490000000000009
2023-09-27,330.4,26213.75643,323.75,8486703.644212501,6.649999999999977
2023-09-28,332.0,26368.77549,324.326,8552079.47956974,7.673999999999978
2023-09-29,331.76,27033.57298,324.604,8775205.92359992,7.156000000000006
2023-09-30,331.5,26900.15523,324.604,8731897.98827892,6.896000000000015
2023-10-01,331.63,26960.44357,324.604,8751467.82459628,7.0260000000000105
2023-10-02,331.85,27994.21755,324.1,9072925.907955,7.75
2023-10-03,332.35,27507.87239,323.5,8898796.718165,8.850000000000023
2023-10-04,332.75,27421.50828,323.25,8864002.551509999,9.5
2023-10-05,332.7,27779.96237,323.95,8999318.8097615,8.75
2023-10-06,333.29,27417.92216,323.75,8876552.2993,9.54000000000002
2023-10-07,333.75,27935.31233,323.75,9044057.3668375,10.0
2023-10-08,332.85,27957.36815,323.75,9051197.9385625,9.100000000000023
2023-10-09,332.88,27919.88781,323.5,9032083.706535,9.379999999999995
2023-10-10,333.06,27583.90234,323.5,8923392.406990001,9.560000000000002
